url,ten_san_pham,thuong_hieu,gia_ban,sku,mo_ta_ngan,Loại card đồ họa,Loại RAM,Số khe ram,Ổ cứng,CPU,VGA,RAM,Hệ điều hành,Cổng I/O mặt sau,Loại CPU,Dung lượng RAM,Cổng giao tiếp,SSD,Mainboard,Socket,Chipset (PC lắp ráp),Màn hình,Tản nhiệt,Kích thước màn hình,Công nghệ màn hình,Độ phân giải màn hình
https://cellphones.com.vn/may-tinh-pc-mini-asus-nuc-14-pro-revel-canyon-u7.html,PC Mini Pc Asus NUC 14 Pro Revel Canyon U7,ASUS,Liên hệ,may-tinh-pc-mini-asus-nuc-14-pro-revel-canyon-u7,"Mua PC Mini Pc Asus NUC 14 Pro Revel Canyon U7 giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",Intel Arc Graphics,DDR5 SO-DIMM,"2 x SO-DIMM DDR5 5600 memory, up to 48GB x2","1 x M.2 2280 PCIe Gen4x4 NVMe 512GB 1 x M.2 2280 PCIe Gen4x4 NVMe 512GB hoặc 1TB SSD *1x Khe cắm SATA 2,5 inch để hỗ trợ SSD/HDD Lưu ý: Chỉ hỗ trợ ổ cứng 2,5&quot; trên SKU CAO",Intel Core Ultra 7 155H,Intel Arc Graphics,DDR5 SO-DIMM,No OS,"2 x Thunderbolt 4 Type-C Ports
1 x USB 3.2 Gen 2 Type-A
1 x 2.0 Type-A
2 x HDMI 2.1 (TMDS) ports
1 x RJ45 LAN Port
1 x DC-in",Intel Core Ultra 7 155H,,,,,,,,,,,
https://cellphones.com.vn/pc-asus-v501mv-05210h048w.html,PC ASUS V501MV-05210H048W,ASUS,Liên hệ,pc-asus-v501mv-05210h048w,"Mua PC ASUS V501MV-05210H048W chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",Intel Graphics,DDR5 SO-DIMM,"2 x DDR5 SO-DIMM slot, tối đa 64GB",512GB SSD M.2 2280 NVMe PCIe,,,,Windows 11 Home,,"Intel Core 5 210H (lên tới 4.8 GHz / 12MB / 8 nhân, 12 luồng)",8GB,Mặt trước:1 x jack 3.5mm1 x jack 3.5mm combo1 x USB-C 3.2 Gen 2 x USB-A 3.2 Gen 12 x USB-A 3.2 Gen 2Mặt sau:1 x RJ451 x HDMI 1.41 x DisplayPort 1.41 x âm thanh 7.1 kênh1 x khe khóa bảo mật Kensington,,,,,,,,,
https://cellphones.com.vn/pc-cps-van-phong-s3-amd.html,PC CPS văn phòng S03 R5 5500GT / 8GB - 256GB,Hãng khác,Liên hệ,PC.VP.03,"Mua ngay PC CPS Văn Phòng S3 - AMD giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",,,,,CPU AMD Ryzen 5 5500GT,Onboard,Ram PC VSP DDR4 3200MHZ 8GB (1*8GB),,,,8GB,,Ổ cứng SSD VSP 860G SATA III 2.5&quot; 256GB,Mainboard ASRock A520M/AC D4 AM4 Wifi,AM4 ,A520M,,,,,
https://cellphones.com.vn/pc-cps-van-phong-amd-r3-3200g.html,PC CPS Văn Phòng AMD R3 3200G Kèm Màn Hình,Hãng khác,Liên hệ,PC.CPS.110,"Mua ngay PC CPS Văn Phòng AMD R3 3200G Kèm Màn Hình giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",,,,,CPU AMD Ryzen 3 3200G,Onboard,RAM PC VSP DDR4 3200MHZ 8GB (1*8GB),,,,8GB,,Ổ cứng SSD VSP 860G SATA III 2.5&quot; 256GB,Mainboard ASRock A520M/AC D4 AM4 Wifi,,A520M,Màn hình Aiwa AW-MF2228-Y 22 inch,,,,
https://cellphones.com.vn/pc-cps-gaming-g6.html,PC CPS Gaming G06 i5 12400F / 16GB - 256GB / RX 7600,Hãng khác,Liên hệ,PC.GM.06,"Mua ngay PC CPS Gaming G6 giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",,,,,Intel Core i5-12400F,VGA Asus Phoenix Radeon RX 7600 OC 8GB DUAL-RX7600-O8G-EVO,RAM PC ADATA XPG D50 RGB 16GB (1x16GB) 3200MHz DDR4,,2 x Antenna Ports1 x PS/2 Mouse/Keyboard Port1 x HDMI Port1 x DisplayPort 1.41 x USB 3.2 Gen1 Type-C Port3 x USB 3.2 Gen1 Type-A Ports2 x USB 2.0 Ports1 x RJ-45 LAN PortHD Audio Jacks: Line in / Front Speaker / Microphone,,,,Ổ cứng SSD Transcend 110S NVMe PCIe Gen3 x4 256GB,Mainboard MSI Pro B760M-E DDR4,LGA 1700,B760M,,Tản nhiệt khí Xigmatek EPIX II,,,
https://cellphones.com.vn/pc-gaming-cps-x-msi-intel-i5-gen-12-rtx-5060-8gb.html,PC CPS x MSI Gaming Intel I5 Gen 12 RTX 5060 8GB,MSI,Liên hệ,PC.CPS.143,"Mua PC CPS x MSI Gaming Intel I5 Gen 12 RTX 5060 8GB chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ trả góp 0%, giao hàng miễn phí toàn quốc.",,,,,CPU Intel Core i5 12400F,VGA MSI GeForce RTX 5060 8GB VENTUS 2X OC,Ram PC Kingston Fury DDR5 5600MHz 16GB (1*16) KF556C40BB-16WP,,,,16GB,,Ổ cứng SSD Kingston NV3 PCIe 4.0 NVMe 500GB,Mainboard MSI B760M Gaming WIFI DDR5,,B760M,,,,,
https://cellphones.com.vn/pc-asus-expertcenter-s503mer-514400061w.html,PC Asus ExpertCenter S503MER-514400061W,ASUS,Liên hệ,PC.AS.14,"Mua ngay PC Asus ExpertCenter S503MER-514400061W giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",Intel UHD Graphics 730,DDR5 U-DIMM,2 khe (1 khe 16GB + 1 khe trống),512GB M.2 2280 NVMe™ PCIe® 4.0 SSD,,,,Windows 11 Home,"1 x Headphone1 x 3.5mm combo audio jack2 x USB 2.0 Type-A2 x USB 3.2 Gen 2 Type-A1 x RJ45 Gigabit Ethernet1 x HDMI 1.41 x VGA Port1 x 7.1 channel audio (microphone, line-out, Line-in)1 x Kensington lock1 x Padlock loop2 x USB 2.0 Type-A2 x USB 3.2 Gen 1 Type-A",Intel Core i5-14400,16GB,,,,,,,,,,
https://cellphones.com.vn/may-tinh-aio-asus-p440vak-wpc042w.html,Máy tính AIO ASUS P440VAK-WPC042W,ASUS,Liên hệ,may-tinh-aio-asus-p440vak-wpc042w,"Mua ngay Máy tính AIO ASUS P440VAK-WPC042W giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.", Intel® Graphics,DDR5 5200MHz,2 Khe cắm Hỗ trợ tối đa 32GB,512GB M.2 NVMe SSD,,,,Windows 11 Home SL 64-bit,,"Intel Core i3-1315U (1.2 GHz - 4.5GHz / 10MB / 6 nhân, 8 luồng)",8GB,1 x USB Type C3 x USB 3.21 x USB 2.0Audio combox1 LAN 1 Gb/s,,,,,,,23.8 inches,Độ sáng 250nits Màn hình chống chói,1920 x 1080 pixels (FullHD)
https://cellphones.com.vn/pc-cps-x-asus-gaming-intel-i5-gen-14.html,PC CPS X ASUS Gaming Intel I5 Gen 14 kèm màn hình - Trắng,Hãng khác,Liên hệ,PC.CPS.108,"Mua ngay PC CPS X ASUS Gaming Intel I5 Gen 14 kèm màn hình giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",,,,,Intel Core i5 14400F,VGA Asus Phoenix Radeon RX 7600 OC 8GB DUAL-RX7600-O8G-EVO,RAM PC ADATA XPG D50 RGB 16GB (1x16GB) 3200MHz DDR4,,,,,,Ổ cứng SSD Transcend 110S NVMe PCIe Gen3 x4 256GB,Mainboard Asus Prime B760M-A DDR4,LGA 1700,B760M,Màn hình Gaming ASUS ROG Strix XG27ACMES 27 inch,"Tản nhiệt khí Xigmatek EPIX II x3 Quạt led Xigmatek Infinity Pro 3 Arctic (ARGB, 3 Side Infinity)",,,
https://cellphones.com.vn/pc-cps-gaming-g7.html,PC CPS Gaming G07 i5 12400F / 16GB - 256GB / RTX 5060,intel,Liên hệ,PC.GM.07,"Mua ngay PC CPS Gaming G7 giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",,,,,Intel Core i5-12400F,VGA MSI GeForce RTX 5060 8GB VENTUS 2X OC,Ram PC Kingston Fury DDR5 5600MHz 16GB (1*16) KF556C40BB-16WP,,,,16GB,,Ổ cứng SSD Kingston NV3 PCIe 4.0 NVMe 500GB,Mainboard MSI B760M Gaming WIFI DDR5,LGA 1700,B760M,,"Tản nhiệt nước Xigmatek Fenix II 240 Arcticx3 Quạt led Xigmatek Infinity Pro 3 (ARGB, 3 Side Infinity)",,,
https://cellphones.com.vn/pc-gaming-cps-x-msi-intel-i5-gen-12-rtx-3050.html,PC CPS x MSI Gaming Intel I5 Gen 12 RTX 3050 6GB,MSI,Liên hệ,PC.CPS.144,"Mua PC CPS X MSI Gaming Intel I5 Gen 12 RTX 3050 6GB chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ trả góp 0%, giao hàng miễn phí toàn quốc.",,,,,CPU Intel Core i5 12400F,VGA MSI GeForce RTX 3050 VENTUS 2X 6G OC,RAM PC ADATA XPG D50 RGB 8GB (1x8GB) 3200MHz DDR4,,,,8GB,,Ổ cứng SSD Kingston NV3 PCIe 4.0 NVMe 500GB,Mainboard MSI Pro B760M-E DDR4,,B760M,,,,,
https://cellphones.com.vn/pc-cps-creator-ai-a770.html,PC CPS Creator AI A770 AMD Ryzen 7 7700X / RTX 5070,Hãng khác,Liên hệ,PC.CPS.119,"Mua PC CPS Creator AI A770 AMD Ryzen 7 7700X / RTX 5070 chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ trả góp 0%, giao hàng miễn phí toàn quốc.",,,,,AMD Ryzen 7 7700X (WOF),VGA MSI GeForce RTX 5070 12GB VENTUS 2X OC,Ram PC Kingston Fury DDR5 5600MHz 32GB (2*16) KF556C40BBK2-32WP,,,,32GB,,Ổ cứng SSD Kingston NV3 PCIe 4.0 NVMe 1TB,Mainboard ASRock B650M Pro RS WiFi D5,,B650M,,"Tản nhiệt nước MSI Mag Coreliquid A13 360x3 Quạt led Xigmatek Infinity Pro 3 (ARGB, 3 Side Infinity)",,,
https://cellphones.com.vn/pc-cps-gaming-g4.html,PC CPS Gaming G04 i5 12400F / 8GB - 256GB / RX 6500,Hãng khác,Liên hệ,PC.GM.04,"Mua ngay PC CPS Gaming G04 giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",,,,,CPU Intel Core i5 12400F,VGA Gigabyte Radeon RX 6500 XT Eagle 4GB GV-R65XTEAGLE-4GD,RAM PC Kingston Fury Beast DDR4 3200MHz 8GB KF432C16BB/8WP,,,,8GB,,Ổ cứng SSD Transcend 110S NVMe PCIe Gen3 x4 256GB,Mainboard MSI Pro H610M-S DDR4,LGA 1700,H610M,,Tản nhiệt khí CPU Jonsbo CR-1200E RGB,,,
https://cellphones.com.vn/pc-cps-asus-gaming-intel-i7-gen-12.html,PC CPS X ASUS Gaming Intel i7 Gen 12 Kèm màn hình,ASUS,Liên hệ,PC.CPS.102,"Mua ngay PC CPS X ASUS Gaming Intel i7 Gen 12 Kèm màn hình giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",,,,,Intel Core i7 12700F,VGA Asus Prime Geforce RTX 5060 Ti 16GB OC PRIME-RTX5060TI-O16G,RAM PC ADATA XPG D50 RGB 16GB (1x16GB) 3200MHz DDR4,,,,16GB,,SSD ADATA LEGEND 860 PCIE GEN4 X4 M.2 2280 (R 6000/W 5000) 500GB,Asus TUF Gaming B760M-PLUS Wifi D4,,,Màn hình Gaming ASUS TUF VG259Q5A 25 inch (FHD/IPS/200HZ/0.3MS),"Quạt led Xigmatek Infinity Pro 3 (ARGB, 3 Side Infinity)",,,
https://cellphones.com.vn/pc-cps-creator-pro-570.html,PC CPS Creator Pro 570 AMD Ryzen 7 5700X / RX 7600,Hãng khác,Liên hệ,PC.CPS.117,"Mua PC CPS Creator Pro 570 AMD Ryzen 7 5700X / RTX 3060 chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ trả góp 0%, giao hàng miễn phí toàn quốc.",,,,,CPU AMD Ryzen 7 5700X (Tray),VGA Asus Phoenix Radeon RX 7600 OC 8GB DUAL-RX7600-O8G-EVO,RAM PC ADATA XPG D50 RGB 16GB (1x16GB) 3200MHz DDR4,,,,16GB,,SSD Adata Legend 860 PCIe Gen4 X4 M.2 2280 (R 6000/W 5000) 500GB,Mainboard Asus Prime B550M-A,,B550M,,"Tản nhiệt khí Xigmatek EPIX II x3 Quạt led Xigmatek Infinity Pro 3 (ARGB, 3 Side Infinity)",,,
https://cellphones.com.vn/pc-cps-gaming-g10.html,PC CPS Gaming G10 R5 5500 / 8GB - 256GB / RTX 3050,Hãng khác,Liên hệ,PC.GM.10,"Mua ngay PC CPS Gaming G10 giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",,,,,CPU AMD Ryzen 5 5500,VGA MSI GeForce RTX 3050 VENTUS 2X 6G OC,RAM PC Kingston Fury Beast DDR4 3200MHz 8GB KF432C16BB/8WP,,1 x Cổng chuột/bàn phím PS/21 x Cổng D-Sub1 x Cổng HDMI2 x Cổng USB 3.2 Gen1 (Hỗ trợ bảo vệ ESD)4 x Cổng USB 2.0 (Hỗ trợ bảo vệ ESD)1 x RJ- 45 Cổng LAN có đèn LED (Đèn LED ACT/LINK và đèn LED TỐC ĐỘ)Giắc cắm âm thanh HD: Line in / Loa trước / Microphone,,8GB,,Ổ cứng SSD Transcend 110S NVMe PCIe Gen3 x4 256GB,Mainboard MSI B450M-A PRO MAX II,AM4,B450M,,Tản nhiệt khí Xigmatek EPIX II,,,
https://cellphones.com.vn/pc-cps-gaming-g08.html,PC CPS Gaming G08 i5 12400F / 8GB - 256GB / RX 7600,intel,Liên hệ,PC.GM.08,"Mua ngay PC CPS Gaming G08 giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",,,,,Intel Core i5-12400F,VGA Asus Phoenix Radeon RX 7600 OC 8GB DUAL-RX7600-O8G-EVO,ADATA XPG D50 RGB 8GB (1x8GB) 3200MHz DDR4,,1 x Cổng chuột/bàn phím PS/21 x Cổng D-Sub1 x Cổng HDMI2 x Cổng USB 3.2 Gen1 (Hỗ trợ bảo vệ ESD)4 x Cổng USB 2.0 (Hỗ trợ bảo vệ ESD)1 x RJ- 45 Cổng LAN có đèn LED (Đèn LED ACT/LINK và đèn LED TỐC ĐỘ)Giắc cắm âm thanh HD: Line in / Loa trước / Microphone,,8GB,,Ổ cứng SSD Transcend 110S NVMe PCIe Gen3 x4 256GB,Mainboard Asus Prime B760M-A DDR4,LGA 1700,B760M,,Tản nhiệt khí Xigmatek EPIX II,,,
